Question	Option A	Option B	Option C	Option D	Correct Answer	Explanation
Which MITRE ATT&CK technique involves an attacker gaining unauthorized access to an organization's network by exploiting vulnerabilities in third-party services?	Exploit Public-Facing Application (T1190)	External Remote Services (T1133)	Exploitation of Remote Services (T1210)	Exploitation for Client Execution (T1203)	B	Exploitation of Remote Services (T1210) involves an attacker gaining unauthorized access to an organization's network by exploiting vulnerabilities in third-party services, making it a significant threat in cyber threat intelligence analysis.
Which MITRE ATT&CK technique involves an adversary manipulating or generating Netflow data to hide their presence on a network?	Spoofed Legitimate Traffic (T1101)	Network Sniffing (T1040)	Network Denial of Service (T1498)	Exfiltration Over Alternative Protocol (T1048)	A	Spoofed Legitimate Traffic (T1101) involves an adversary manipulating or generating Netflow data to hide their presence on a network. It is a technique used for obfuscation and defense evasion.
What MITRE ATT&CK technique involves an adversary utilizing valid accounts to log into a network and then compromising accounts with higher privileges to gain access to sensitive data?	Account Discovery (T1087)	Valid Accounts (T1078)	Exploitation for Privilege Escalation (T1068)	Steal or Forge Kerberos Tickets (T1558)	B	Adversaries may use valid accounts to initially access a network and then exploit accounts with higher privileges for further access. Valid Accounts (T1078) specifically covers this technique.
In the context of MITRE ATT&CK for Enterprise, which technique involves an attacker leveraging the Windows Management Instrumentation (WMI) service to interact with local and remote systems for reconnaissance purposes?	Process Discovery	Remote System Discovery	External Remote Services	Windows Management Instrumentation (T1047)	B	An attacker leveraging the Windows Management Instrumentation (WMI) service for reconnaissance purposes corresponds to the technique Windows Management Instrumentation (T1047) in the MITRE ATT&CK framework. Process Discovery involves an adversary enumerating processes on a system, Remote System Discovery focuses on identifying systems and services on a network, and External Remote Services pertain
In the context of MITRE ATT&CK for Enterprise, which technique involves an adversary modifying the source code of a legitimate application to include malicious code, thereby allowing the attacker to maintain persistence and evade detection?	Process Injection: Dynamic-link Library Injection (T1055.001)	Software Packing (T1045)	Scripting (T1064)	Valid Accounts (T1078)	A	Process Injection: Dynamic-link Library Injection (T1055.001) refers to the technique where an adversary modifies the source code of a legitimate application to include malicious code for maintaining persistence and evading detection.
Which MITRE ATT&CK Enterprise technique involves an adversary gaining access to accounts through credential dumping and credential stuffing?	T1003.001 - System Network Configuration Discovery	T1110 - Brute Force	T1078.002 - Valid Accounts	T1552.002 - Domain Accounts	B	T1078.002 - Valid Accounts
Which MITRE ATT&CK technique involves an adversary using an application access token to maintain access to cloud resources without needing the original credentials?	(A) Valid Accounts	(B) Exploit Public-Facing Application	(C) Access Token Manipulation	(D) Steganography	C	Access Token Manipulation is the technique where an adversary uses an application access token to maintain access without needing the original credentials. This requires a careful understanding of cloud security and access control mechanisms.
Which MITRE ATT&CK technique involves an adversary gaining access to resources through valid account usage and replicating the victim's network communication?	Exfiltration Over Alternative Protocol (T1048)	Replication Through Removable Media (T1091)	Valid Accounts (T1078)	Network Sniffing (T1040)	C	Adversaries may leverage valid accounts (T1078) to gain access to resources by mimicking legitimate network communication to blend in with normal traffic and avoid detection.
In the context of MITRE ATT&CK for Enterprise, which technique involves the adversary installing malicious software that is designed to execute commands on a compromised system?	Execution	Defense Evasion	Persistence	Command and Control	D	Command and Control technique in MITRE ATT&CK involves adversaries establishing and maintaining a channel for communication to control compromised systems.
Which MITRE ATT&CK technique involves an adversary injecting malicious code into a system process to evade detection?	T1055 - Process Injection	T1547.001 - Boot or Logon Autostart Execution	T1134 - Access Token Manipulation	T1053 - Scheduled Task	A	T1055 - Process Injection is a technique used by adversaries to run malicious code in the address space of another process to avoid detection. Adversaries commonly use this technique to hide their presence on a system.
Which MITRE ATT&CK technique involves an adversary disguising their true purpose and hiding their activities to blend in with legitimate network traffic?	T1070 - Indicator Removal on Enterprise	T1001 - Data Obfuscation	T1562.001 - Impair Defenses: Disable or Modify Tools	T1027 - Obfuscated Files or Information	C	T1562.001 - Impair Defenses: Disable or Modify Tools
Which MITRE ATT&CK technique involves an adversary using a trusted relationship between systems to gain access to the target system?	Exploit Public-Facing Application (T1190)	Valid Accounts (T1078)	Exploitation for Client Execution (T1203)	Valid Accounts: Default Accounts (T1078.001)	B	Adversaries can leverage Valid Accounts (T1078) to gain access by exploiting trusted relationships between systems, making this technique a common choice for lateral movement within a network.
Which MITRE ATT&CK technique involves an adversary using valid accounts to log into a system and then using those accounts to move laterally within the network?	(A) Valid Accounts (T1078)	(B) Pass the Hash (T1075)	(C) Remote Services (T1021)	(D) Spearphishing Attachment (T1193)	A	The Valid Accounts technique (T1078) specifically covers the use of legitimate credentials to perform unauthorized actions within an environment, aiding lateral movement. Pass the Hash (T1075) involves stealing password hashes and leveraging them for unauthorized access. Remote Services (T1021) refers to
